title,authors,code_link
"M^3-VOS: Multi-Phase, Multi-Transition, and Multi-Scenery Video Object Segmentation",Zixuan Chen · Jiaxin Li · Junxuan Liang · Liming Tan · Yejie Guo · Cewu Lu · Yonglu Li,
Automated Generation of Challenging Multiple-Choice Questions for Vision Language Model Evaluation,Yuhui Zhang · Yuchang Su · Yiming Liu · Xiaohan Wang · James Burgess · Elaine Sui · Chenyu Wang · Josiah Aklilu · Alejandro Lozano · Anjiang Wei · Ludwig Schmidt · Serena Yeung,
"BIOMEDICA: An Open Biomedical Image-Caption Archive, Dataset, and Vision-Language Models Derived from Scientific Literature",Alejandro Lozano · Min Woo Sun · James Burgess · Liangyu Chen · Jeffrey J Nirschl · Jeffrey Gu · Ivan Lopez · Josiah Aklilu · Austin Wolfgang Katzer · Collin Chiu · Anita Rau · Xiaohan Wang · Yuhui Zhang · Alfred Seunghoon Song · Robert Tibshirani · Serena Yeung,
MicroVQA: A Multimodal Reasoning Benchmark for Microscopy-Based Scientific Research,James Burgess · Jeffrey J Nirschl · Laura Bravo-Sánchez · Alejandro Lozano · Sanket Rajan Gupte · Jesus G. Galaz-Montoya · Yuhui Zhang · Yuchang Su · Disha Bhowmik · Zachary Coman · Sarina M. Hasan · Alexandra Johannesson · William D. Leineweber · Malvika G Nair · Ridhi Yarlagadda · Connor Zuraski · Wah Chiu · Sarah Cohen · Jan N. Hansen · Manuel D Leonetti · Chad Liu · Emma Lundberg · Serena Yeung,
Sonata: Self-Supervised Learning of Reliable Point Representations,Xiaoyang Wu · Daniel DeTone · Duncan Frost · TIANWEI SHEN · Chris Xie · Nan Yang · Jakob Engel · Richard Newcombe · Hengshuang Zhao · Julian Straub,
Attention Distillation: A Unified Approach to Visual Characteristics Transfer,Yang Zhou · Xu Gao · Zichong Chen · Hui Huang,
Multi-Granularity Class Prototype Topology Distillation for Class-Incremental Source-Free Unsupervised Domain Adaptation,Peihua Deng · Jiehua Zhang · Xichun Sheng · Chenggang Yan · Yaoqi Sun · Ying Fu · Liang Li,https://github.com/dengpeihua/GROTO
Wonderland: Navigating 3D Scenes from a Single Image,Hanwen Liang · Junli Cao · Vidit Goel · Guocheng Qian · Sergei Korolev · Demetri Terzopoulos · Konstantinos N. Plataniotis · Sergey Tulyakov · Jian Ren,
Vision-Language Models Do Not Understand Negation,Kumail Alhamoud · Shaden Alshammari · Yonglong Tian · Guohao Li · Philip H.S. Torr · Yoon Kim · Marzyeh Ghassemi,
Generative Photomontage,Sean J. Liu · Nupur Kumari · Ariel Shamir · Jun-Yan Zhu,
Exploring CLIP's Dense Knowledge for Weakly Supervised Semantic Segmentation,Zhiwei Yang · Yucong Meng · Kexue Fu · feilong tang · Shuo Wang · Zhijian Song,
Magma: A Foundation Model for Multimodal AI Agents,Jianwei Yang · Reuben Tan · Qianhui Wu · Ruijie Zheng · Baolin Peng · Yongyuan Liang · Yu Gu · Mu Cai · Seonghyeon Ye · Joel Jang · Yuquan Deng · Jianfeng Gao,
"MetaShadow: Object-Centered Shadow Detection, Removal, and Synthesis",Tianyu Wang · Jianming Zhang · Haitian Zheng · Zhihong Ding · Scott Cohen · Zhe Lin · Wei Xiong · Chi-Wing Fu · Luis Figueroa · Soo Ye Kim,
TurboFill: Adapting Few-step Text-to-image Model for Fast Image Inpainting,Liangbin Xie · Daniil Pakhomov · Zhonghao Wang · Zongze Wu · Ziyan Chen · Yuqian Zhou · Haitian Zheng · Zhifei Zhang · Zhe Lin · Jiantao Zhou · Chao Dong,
NeISF++: Neural Incident Stokes Field for Polarized Inverse Rendering of Conductors and Dielectrics,Chenhao Li · Taishi Ono · Takeshi Uemori · Sho Nitta · Hajime Mihara · Alexander Gatto · Hajime Nagahara · Yusuke Moriuchi,
RAP: Retrieval-Augmented Personalization for Multimodal Large Language Models,Haoran Hao · Jiaming Han · Changsheng Li · Yu-Feng Li · Xiangyu Yue,
Attention IoU: Examining Biases in CelebA using Attention Maps,Aaron Serianni · Tyler Zhu · Olga Russakovsky · Vikram V. Ramaswamy,https://github.com/aaronserianni/attention-iou
HOIGPT: Learning Long-Sequence Hand-Object Interaction with Language Models,Mingzhen Huang · Fu-Jen Chu · Bugra Tekin · Kevin Liang · Haoyu Ma · Weiyao Wang · Xingyu Chen · Pierre Gleize · Hongfei Xue · Siwei Lyu · Kris Kitani · Matt Feiszli · Hao Tang,
Parameter Efficient Mamba Tuning via Projector-targeted Diagonal-centric Linear Transformation,Seokil Ham · Hee-Seon Kim · Sangmin Woo · Changick Kim,
Scaling Properties of Diffusion Models For Perceptual Tasks,Rahul Ravishankar · Zeeshan Patel · Jathushan Rajasegaran · Jitendra Malik,
SKDream: Controllable Multi-view and 3D Generation with Arbitrary Skeletons,Yuanyou Xu · Zongxin Yang · Yi Yang,
Zero-Shot 4D Lidar Panoptic Segmentation,Yushan Zhang · Aljoša Ošep · Laura Leal-Taixe · Tim Meinhardt,
Towards Generalizable Trajectory Prediction using Dual-Level Representation Learning and Adaptive Prompting,Kaouther Messaoud · Matthieu Cord · Alex Alahi,
Adapting Dense Matching for Homography Estimation with Grid-based Acceleration,Kaining Zhang · Yuxin Deng · Jiayi Ma · Paolo Favaro,
"GEM: A Generalizable Ego-Vision Multimodal World Model for Fine-Grained Ego-Motion, Object Dynamics, and Scene Composition Control",Mariam Hassan · Sebastian Stapf · Ahmad Rahimi · Pedro M B Rezende · Yasaman Haghighi · David Brüggemann · Isinsu Katircioglu · Lin Zhang · Xiaoran Chen · Suman Saha · Marco Cannici · Elie Aljalbout · Botao Ye · Xi Wang · Aram Davtyan · Mathieu Salzmann · Davide Scaramuzza · Marc Pollefeys · Paolo Favaro · Alex Alahi,
LatentHOI: On the Generalizable Hand Object Motion Generation with Latent Hand Diffusion.,Muchen Li · Sammy Christen · Chengde Wan · Yujun Cai · Renjie Liao · Leonid Sigal · Shugao Ma,https://github.com/jojo23333/LatetHOI
Exploring Visual Vulnerabilities via Multi-Loss Adversarial Search for Jailbreaking Vision-Language Models,Shuyang Hao · Bryan Hooi · Jun Liu · Kai-Wei Chang · Zi Huang · Yujun Cai,
SegAgent: Exploring Pixel Understanding Capabilities in MLLMs by Imitating Human Annotator Trajectories,Muzhi Zhu · Yuzhuo Tian · Hao Chen · Chunluan Zhou · Qingpei Guo · Yang Liu · Ming Yang · Chunhua Shen,
Yo’Chameleon: Personalized Vision and Language Generation,Thao Nguyen · Krishna Kumar Singh · Jing Shi · Trung Bui · Yong Jae Lee · Yuheng Li,
SemiDAViL: Semi-supervised Domain Adaptation with Vision-Language Guidance for Semantic Segmentation,Hritam Basak · Zhaozheng Yin,
Video-Guided Foley Sound Generation with Multimodal Controls,Ziyang Chen · Prem Seetharaman · Bryan Russell · Oriol Nieto · David Bourgin · Andrew Owens · Justin Salamon,
Few-Shot Recognition via Stage-Wise Retrieval-Augmented Finetuning,Tian Liu · Huixin Zhang · Shubham Parashar · Shu Kong,
Solving Instance Detection from an Open-World Perspective,Qianqian Shen · Yunhan Zhao · Nahyun Kwon · Jeeeun Kim · Yanan Li · Shu Kong,
Generalized Zero-Shot Classification via Semantics-Free Inter-Class Feature Generation,Libiao Chen · Dong Nie · Junjun Pan · Jing Yan · Zhenyu Tang,
MVBoost: Boost 3D Reconstruction with Multi-View Refinement,Xiangyu Liu · Xiaomei Zhang · Zhiyuan Ma · Xiangyu Zhu · Zhen Lei,
SGC-Net: Stratified Granular Comparison Network for Open-Vocabulary HOI Detection,Xin Lin · Chong Shi · Zuopeng Yang · Haojin Tang · Zhili Zhou,https://github.com/Phil0212/SGC-Net
Sim-to-Real Causal Transfer: A Metric Learning Approach to Causally-Aware Interaction Representations,Ahmad Rahimi · Po-Chien Luan · Yuejiang Liu · Frano Rajič · Alex Alahi,
Unveiling Visual Perception in Language Models: An Attention Head Analysis Approach,Jing Bi · Lianggong Bruce Wen · Zhang Liu · JunJia Guo · Yunlong Tang · Bingjie Wang · Chenliang Xu,
MAD: Memory-Augmented Detection of 3D Objects,Ben Agro · Sergio Casas · Patrick Wang · Thomas Gilles · Raquel Urtasun,
DIO: Decomposable Implicit 4D Occupancy-Flow World Model,Christopher Diehl · Quinlan Sykora · Ben Agro · Thomas Gilles · Sergio Casas · Raquel Urtasun,
Articulated Kinematics Distillation from Video Diffusion Models,Xuan Li · Qianli Ma · Tsung-Yi Lin · Yongxin Chen · Chenfanfu Jiang · Ming-Yu Liu · Donglai Xiang,
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,Qingqing Zhao · Yao Lu · Moo Jin Kim · Zipeng Fu · Zhuoyang Zhang · Yecheng Wu · Max Li · Qianli Ma · Song Han · Chelsea Finn · Ankur Handa · Tsung-Yi Lin · Gordon Wetzstein · Ming-Yu Liu · Donglai Xiang,
A Distractor-Aware Memory for Visual Object Tracking with SAM2,Alan Lukezic · Jovana Videnović · Matej Kristan,
T-CIL: Temperature Scaling using Adversarial Perturbation for Calibration in Class-Incremental Learning,Seong-Hyeon Hwang · Minsu Kim · Steven Euijong Whang,
Sketch Down the FLOPs: Towards Efficient Networks for Human Sketch,Aneeshan Sain · Subhajit Maity · Pinaki Nath Chowdhury · Subhadeep Koley · Ayan Kumar Bhunia · Yi-Zhe Song,
Making Old Film Great Again: Degradation-aware State Space Model for Old Film Restoration,Yudong Mao · Hao Luo · Zhiwei Zhong · Peilin CHEN · Zhijiang Zhang · Shiqi Wang,
Retrieving Semantics from the Deep: an RAG Solution for Gesture Synthesis,M. Hamza Mughal · Rishabh Dabral · Merel CJ Scholman · Vera Demberg · Christian Theobalt,
Advancing Semantic Future Prediction through Multimodal Visual Sequence Transformers,Efstathios Karypidis · Ioannis Kakogeorgiou · Spyros Gidaris · Nikos Komodakis,https://github.com/Sta8is/FUTURIST
A New Statistical Model of Star Speckles for Learning to Detect and Characterize Exoplanets in Direct Imaging Observations,Theo Bodrito · Olivier Flasseur · Julien Mairal · Jean Ponce · Maud Langlois · Anne-Marie Lagrange,
FedCS: Coreset Selection for Federated Learning,Chenhe Hao · Weiying Xie · Daixun Li · Haonan Qin · Hangyu Ye · Leyuan Fang · Yunsong Li,
Monocular and Generalizable Gaussian Talking Head Animation,Shengjie Gong · Haojie Li · Jiapeng Tang · Dongming Hu · Shuangping Huang · Hao Chen · Tianshui Chen · Zhuoman Liu,
TKG-DM: Training-free Chroma Key Content Generation Diffusion Model,Ryugo Morita · Stanislav Frolov · Brian Bernhard Moser · Takahiro Shirakawa · Ko Watanabe · Andreas Dengel · Jinjia Zhou,https://github.com/ryugo417/TKG-DM
Point Clouds Meets Physics: Dynamic Acoustic Field Fitting Network for Point Cloud Understanding,Changshuo Wang · Shuting He · Xiang Fang · Jiawei Han · Zhonghang Liu · Xin Ning · Weijun Li · Prayag Tiwari,
FlexUOD: The Answer to Real-world Unsupervised Image Outlier Detection,Zhonghang Liu · Kun Zhou · Changshuo Wang · Daniel Lin · Jiangbo Lu,
Language-Assisted Debiasing and Smoothing for Foundation Model-Based Semi-Supervised Learning,Na Zheng · Xuemeng Song · Xue Dong · Aashish Nikhil Ghosh · Liqiang Nie · Roger Zimmermann,
Context-Aware Multimodal Pretraining,Karsten Roth · Zeynep Akata · Dima Damen · Ivana Balazevic · Olivier J Henaff,
How to Merge Your Multimodal Models Over Time?,Sebastian Dziadzio · Vishaal Udandarao · Karsten Roth · Ameya Prabhu · Zeynep Akata · Samuel Albanie · Matthias Bethge,
Continuous Space-Time Video Resampling with Invertible Motion Steganography,Yuantong zhang · Zhenzhong Chen,
Towards RAW Object Detection in Diverse Conditions,Zhong-Yu Li · Xin Jin · Bo-Yuan Sun · Chun-Le Guo · Ming-Ming Cheng,
ImagineFSL: Self-Supervised Pretraining Matters on Imagined Base Set for VLM-based Few-shot Learning,Haoyuan Yang · Xiaoou Li · Jiaming Lv · Xianjun Cheng · Qilong Wang · Peihua Li,
GenDeg: Diffusion-based Degradation Synthesis for Generalizable All-In-One Image Restoration,Sudarshan Rajagopalan · Nithin Gopalakrishnan Nair · Jay Paranjape · Vishal M. Patel,
VideoWorld: Exploring Knowledge Learning from Unlabeled Videos,Zhongwei Ren · Yunchao Wei · Xun Guo · Yao Zhao · Bingyi Kang · Jiashi Feng · Xiaojie Jin,
All-Day Multi-Camera Multi-Target Tracking,Huijie Fan · Yu Qiao · Yihao Zhen · Tinghui Zhao · Baojie Fan · Qiang Wang,
Stabilizing and Accelerating Autofocus with Expert Trajectory Regularized Deep Reinforcement Learning,Shouhang Zhu · Chenglin Li · Yuankun Jiang · Li Wei · Nuowen Kan · Ziyang Zheng · Wenrui Dai · Junni Zou · Hongkai Xiong,
Seeing Far and Clearly: Mitigating Hallucinations in MLLMs with Attention Causal Decoding,feilong tang · Chengzhi Liu · Zhongxing Xu · Ming Hu · Zile Huang · Haochen Xue · Ziyang Chen · Zelin Peng · Zhiwei Yang · Sijin Zhou · Wenxue Li · Yulong Li · Wenxuan Song · Shiyan Su · Wei Feng · Jionglong Su · Mingquan Lin · Yifan Peng · Xuelian Cheng · Imran Razzak · Zongyuan Ge,
Around the World in 80 Timesteps: A Generative Approach to Global Visual Geolocation,Nicolas Dufour · Vicky Kalogeiton · David Picard · Loic Landrieu,
Attend to Not Attended: Structure-then-Detail Token Merging for Post-training DiT Acceleration,Haipeng Fang · Sheng Tang · Juan Cao · Enshuo Zhang · Fan Tang · Tong-yee Lee,
PQPP: A Joint Benchmark for Text-to-Image Prompt and Query Performance Prediction,Eduard Poesina · Adriana Valentina Costache · Adrian-Gabriel Chifu · Josiane Mothe · Radu Tudor Ionescu,
Anyattack: Towards Large-scale Self-supervised Adversarial Attacks on Vision-language Models,Jiaming Zhang · Junhong Ye · Xingjun Ma · Yige Li · Yunfan Yang · Yunhao Chen · Jitao Sang · Dit-Yan Yeung,
Tuning the Frequencies: Robust Training for Sinusoidal Neural Networks,Tiago Novello · Diana Aldana Moreno · André Araujo · Luiz Velho,
TransPixeler: Advancing Text-to-Video Generation with Transparency,Luozhou Wang · Yijun Li · ZhiFei Chen · Jui-Hsien Wang · Zhifei Zhang · He Zhang · Zhe Lin · Ying-Cong Chen,
SimMotionEdit: Text-Based Human Motion Editing with Motion Similarity Prediction,Zhengyuan Li · Kai Cheng · Anindita Ghosh · Uttaran Bhattacharya · Liangyan Gui · Aniket Bera,
BrepGiff: Lightweight Generation of Complex B-rep with 3D GAT Diffusion,Hao Guo · Xiaoshui Huang · Hao jiacheng · Yunpeng Bai · Hongping Gan · Yilei Shi,
Unseen Visual Anomaly Generation,HAN SUN · Yunkang Cao · Hao Dong · Olga Fink,https://github.com/EPFL-IMOS/AnomalyAny
Unsupervised Discovery of Facial Landmarks and Head Pose,Satyajit Tourani · Siddharth Tourani · Arif Mahmood · Muhammad Haris Khan,
DeDe: Detecting Backdoor Samples for SSL Encoders via Decoders,Sizai Hou · Songze Li · Duanyi Yao,https://github.com/tardisblue9/DeDe
Ges3ViG : Incorporating Pointing Gestures into Language-Based 3D Visual Grounding for Embodied Reference Understanding,Atharv Mahesh Mane · Dulanga Weerakoon · Vigneshwaran Subbaraju · Sougata Sen · Sanjay Sarma · Archan Misra,https://github.com/AtharvMane/Ges3ViG
SegEarth-OV: Towards Training-Free Open-Vocabulary Segmentation for Remote Sensing Images,Kaiyu Li · Ruixun Liu · Xiangyong Cao · Xueru Bai · Feng Zhou · Deyu Meng · Wang Zhi,
Hierarchical Adaptive Filtering Network for Text Image Specular Highlight Removal,Zhi Jiang · Jingbo Hu · Ling Zhang · Gang Fu · Chunxia Xiao,
SlideChat: A Large Vision-Language Assistant for Whole-Slide Pathology Image Understanding,Ying Chen · Guoan Wang · Yuanfeng Ji · Yanjun Li · Jin Ye · Tianbin Li · Ming Hu · Rongshan Yu · Yu Qiao · Junjun He,
Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,Xiaohan Qin · Xiaoxing Wang · Junchi Yan,
"Perceptually Accurate 3D Talking Head Generation: New Definitions, Speech-Mesh Representation, and Evaluation Metrics",Lee Chae-Yeon · Oh Hyun-Bin · Han EunGi · Kim Sung-Bin · Suekyeong Nam · Tae-Hyun Oh,
ReDiffDet: Rotation-equivariant Diffusion Model for Oriented Object Detection,Jiaqi Zhao · Zeyu Ding · Yong Zhou · Hancheng Zhu · Wen-Liang Du · Rui Yao,
DSV-LFS: Unifying LLM-Driven Semantic Cues with Visual Features for Robust Few-Shot Segmentation,Amin Karimi · Charalambos Poullis,
NightAdapter: Learning a Frequency Adapter for Generalizable Night-time Scene Segmentation,Qi Bi · Jingjun Yi · Huimin Huang · Hao Zheng · Haolan Zhan · Yawen Huang · Yuexiang Li · Xian Wu · Yefeng Zheng,
FreeGave: 3D Physics Learning from Dynamic Videos by Gaussian Velocity,Jinxi Li · Ziyang Song · Siyuan Zhou · Bo Yang,
Diffusion-based Realistic Listening Head Generation via Hybrid Motion Modeling,Yinuo Wang · Yanbo Fan · Xuan Wang · Yu Guo · Fei Wang,
DiG: Scalable and Efficient Diffusion Models with Gated Linear Attention,Lianghui Zhu · Zilong Huang · Bencheng Liao · Jun Hao Liew · Hanshu Yan · Jiashi Feng · Xinggang Wang,https://github.com/hustvl/DiG
High Temporal Consistency through Semantic Similarity Propagation in Semi-Supervised Video Semantic Segmentation for Autonomous Flight,Cédric Vincent · Taehyoung Kim · Henri Meeß,
Diffusion Bridge: Leveraging Diffusion Model to Reduce the Modality Gap Between Text and Vision for Zero-Shot Image Captioning,Jeongryong Lee · Yejee Shin · Geonhui Son · Dosik Hwang,
Low-Biased General Annotated Dataset Generation,Dengyang Jiang · Haoyu Wang · Lei Zhang · Wei Wei · Guang Dai · Mengmeng Wang · Jingdong Wang · Yanning Zhang,https://github.com/vvvvvjdy/lbGen
Pathways on the Image Manifold: Image Editing via Video Generation,Noam Rotstein · Gal Yona · Daniel Silver · Roy Velich · David Bensaid · Ron Kimmel,
AMO Sampler: Enhancing Text Rendering with Overshooting,Xixi Hu · Keyang Xu · Bo Liu · Hongliang Fei · Qiang Liu,
Test-Time Visual In-Context Tuning,Jiahao Xie · Alessio Tonioni · Nathalie Rauschmayr · Federico Tombari · Bernt Schiele,https://github.com/Jiahao000/VICT
Hyperbolic Safety-Aware Vision-Language Models,Tobia Poppi · Tejaswi Kasarla · Pascal Mettes · Lorenzo Baraldi · Rita Cucchiara,
Forming Auxiliary High-confident Instance-level Loss to Promote Learning from Label Proportions,Tianhao Ma · Han Chen · Juncheng Hu · Yungang Zhu · Ximing Li,
EntropyMark: Towards More Harmless Backdoor Watermark via Entropy-based Constraint for Open-source Dataset Copyright Protection,Ming Sun · Rui Wang · Zixuan Zhu · Lihua Jing · Yuanfang Guo,
Asynchronous Collaborative Graph Representation for Frames and Events,Dianze Li · Jianing Li · Xu Liu · Xiaopeng Fan · Yonghong Tian,
Semantic and Expressive Variations in Image Captions Across Languages,Andre Ye · Sebastin Santy · Jena D. Hwang · Amy X Zhang · Ranjay Krishna,
SPARC: Score Prompting and Adaptive Fusion for Zero-Shot Multi-Label Recognition in Vision-Language Models,Kevin Miller · Aditya Gangrade · Samarth Mishra · Kate Saenko · Venkatesh Saligrama,https://github.com/kjmillerCURIS/SPARC
Distribution Prototype Diffusion Learning for Open-set Supervised Anomaly Detection,Fuyun Wang · Tong Zhang · Yuanzhi Wang · Yide Qiu · Xin Liu · Xu Guo · Zhen Cui,
2DMamba: Efficient State Space Model for Image Representation with Applications on Giga-Pixel Whole Slide Image Classification,Jingwei Zhang · Anh Tien Nguyen · Xi Han · Vincent Quoc-Huy Trinh · Hong Qin · Dimitris Samaras · Mahdi Hosseini,https://github.com/AtlasAnalyticsLab/2DMamba
CPath-Omni: A Unified Multimodal Foundation Model for Patch and Whole Slide Image Analysis in Computational Pathology,Yuxuan Sun · Yixuan Si · Chenglu Zhu · Xuan Gong · Kai Zhang · Pingyi Chen · Ye Zhang · Zhongyi Shui · Tao Lin · Lin Yang,
DiffSensei: Bridging Multi-Modal LLMs and Diffusion Models for Customized Manga Generation,Jianzong Wu · Chao Tang · Jingbo Wang · Yanhong Zeng · Xiangtai Li · Yunhai Tong,
